IM,1
XK,1
GA,1
BJ,1
LS,1
PG,1
VI,1
JM,1
GU,1
CV,1
BI,1
GN,1
KM,1
WS,1
NI,1
GL,1
MR,1
TG,1
NC,1
MW,1
PR,2
BF,2
SO,2
MM,2
GP,2
LB,2
PF,2
FJ,2
AF,2
BT,2
AW,2
MQ,2
BS,2
LY,2
RE,2
ML,2
CU,2
TT,3
KY,3
TJ,3
OM,3
GM,4
BH,4
MT,4
HT,4
MZ,4
NE,4
RW,4
SV,4
YE,4
CI,5
MU,5
ET,5
MG,5
HN,5
ME,6
SD,6
SY,6
IQ,6
AO,6
BW,7
CW,7
MC,7
KG,8
AZ,8
AL,8
IS,9
SN,9
LU,9
JO,10
ZW,11
GH,11
MK,11
KH,12
FI,12
LA,13
EE,13
BA,13
PS,14
NA,14
TZ,15
CM,16
UG,16
GE,17
LT,17
GT,18
CR,18
KW,18
DZ,19
BZ,19
NG,20
LK,20
SK,20
MN,21
QA,21
ZM,26
SA,27
EG,27
AM,27
NP,28
MD,29
UY,30
NZ,30
UZ,31
MA,31
RS,34
IE,38
DO,39
MO,39
HR,41
KE,43
IL,45
SI,45
AE,49
BO,49
BD,49
KZ,50
TN,52
BY,53
AT,54
CZ,59
CY,70
PY,72
DK,73
PE,75
EC,79
SC,83
CH,85
HU,87
PK,88
PH,93
PT,95
TR,100
BG,106
IR,108
RO,117
LV,118
ZA,133
NO,138
PA,142
CL,148
BE,175
PL,182
VE,186
TH,236
GR,262
MY,302
CO,315
ES,328
AR,333
IT,405
SE,413
SG,426
MX,429
AU,462
JP,509
ID,563
VN,727
UA,737
FR,737
DE,771
IN,809
TW,969
CA,1165
RU,1451
BR,1575
HK,1743
GB,1744
NL,1878
KR,1981
US,9897
CN,14051
